customer_id,signup_date
1,2024-10-16
2,2023-04-25
3,2023-01-26
4,2023-10-09
5,2023-09-08
6,2023-08-17
7,2023-05-23
8,2023-04-15
9,2024-11-23
10,2024-07-12
11,2023-03-31
12,2024-08-27
13,2024-03-08
14,2023-02-02
15,2023-01-31
16,2023-04-06
17,2023-08-12
18,2023-08-27
19,2024-06-01
20,2024-09-08
21,2023-01-28
22,2024-07-28
23,2023-07-23
24,2024-10-27
25,2024-12-19
26,2024-07-12
27,2024-03-05
28,2023-08-14
29,2024-04-04
30,2024-08-26
31,2023-10-12
32,2023-01-07
33,2023-06-13
34,2024-12-15
35,2024-03-08
36,2023-12-15
37,2023-10-12
38,2023-06-09
39,2023-08-09
40,2023-12-11
41,2023-04-15
42,2023-04-05
43,2024-01-25
44,2023-04-10
45,2024-01-03
46,2023-12-19
47,2024-09-10
48,2023-09-28
49,2023-02-14
50,2024-04-15
51,2024-07-03
52,2023-05-08
53,2024-01-23
54,2023-03-22
55,2024-07-19
56,2023-10-28
57,2024-10-05
58,2024-09-25
59,2024-01-06
60,2024-08-14
61,2023-07-16
62,2024-12-22
63,2023-03-13
64,2023-02-16
65,2024-11-08
66,2023-08-22
67,2023-10-24
68,2023-03-23
69,2023-08-27
70,2023-04-14
71,2024-01-25
72,2023-10-12
73,2024-04-09
74,2024-10-12
75,2024-01-09
76,2023-06-16
77,2024-01-15
78,2023-12-30
79,2023-08-03
80,2024-11-17
